Stadt,Club,Veranstaltername,Homepage,Email,Telefon,Bundesland,Land
Schwerte,Rattenloch,Rattenloch,kunterbunt-schwerte.com,rattenloch@googlemail.com,,Nordrhein-Westfalen,Deutschland
Siegburg,Kubana Live Club,Kubana,kubana.de,info@kubana.de,,Nordrhein-Westfalen,Deutschland
Siegen,Vortex,"Phil, Hallo Vortex",vortex-surfer.de,info@vortex-surfer.de,,Nordrhein-Westfalen,Deutschland
Siegen,Musikclub Meyer,"Christina, Hallo Musikclub Meyer",meyer-siegen.de,ina.le@gmx.de,,Nordrhein-Westfalen,Deutschland
Siegen,Musikclub Meyer,Musikclub Meyer,meyer-siegen.de,k.piel@q1-gl.de,,Nordrhein-Westfalen,Deutschland
Solingen,Cobra,Cobra,cobra-solingen.de,info@cobra-solingen.de,,Nordrhein-Westfalen,Deutschland
Troisdorf,Bauhaus,"Torsten, Hallo Baumhaus",jugendzentrum-bauhaus.de,taktart-booking@gmx.de,,Nordrhein-Westfalen,Deutschland
Wermelskirchen,Ajz Bahndamm,,ajzbahndamm.de,webmaster@ajzbahndamm.de,,Nordrhein-Westfalen,Deutschland
Wesel,Krachgarten,Krachgarten,krachgarten-wesel.jimdo.com,,,Nordrhein-Westfalen,Deutschland
Wuppertal,Underground,,underground-wuppertal.de,info@underground-wuppertal.de,0152/27315789,Nordrhein-Westfalen,Deutschland
Wuppertal,Hannya Booking,Hannya Booking,,hannja.booking@gmail.com,,Nordrhein-Westfalen,Deutschland
Kempen,Hermano Booking,"Eduardo, Hallo Hermano Booking",hermanobooking.de / facebook.com/hermanobooking,info@hermanobooking.de,,Nordrhein-Westfalen,Deutschland
Illingen,Juz Illingen,Juz Illingen,facebook.com/JuZ-Illingen-171593271731,,,Saarland,Deutschland
Neunkirchen,Kuz Sägewerk,Kuz Sägewerk,kuz-saegewerk.de,info@kuz-saegewerk.de,,Saarland,Deutschland
Saarbrücken ,Devild Place,Devils Place,devils-place.com,booking@devils-place.com,,Saarland,Deutschland
Saarbrücken,Haifischblut Collective,Haifischblut Collective,facebook.com/haifischblutcollective,haifischblut.collective@gmail.com,,Saarland,Deutschland
Saarbrücken,Juz United,Juz United,juz-united.de,zentrale@juz-united.de,,Saarland,Deutschland
Saarbrücken,Kleiner Klub,Eric,kleinerklub.de,eric@kleinerklub.de,,Saarland,Deutschland
Saarbrücken,Kleiner Klub,Enzo,kleinerklub.de,enzo@kleinerklub.de,,Saarland,Deutschland
St. Ingbert,Juz St. Ingbert,,juzigb.blogsport.de,konzertanfrage.juz-igb@gmx.de,,Saarland,Deutschland
Saarwellingen,Flexibel,Flexibel,facebook.com/Flexibel-203437186383484,E-mail Address,,Saarland,Deutschland
Erfurt,Club From Hell,Frank,clubfromhell.de,info@clubfromhell.de,,Th?ringen,Deutschland
Gotha,Juwel,Juwel,juwelev.wordpress.com,veranstaltungen-juwel@safe-mail.net,,Th?ringen,Deutschland
Jena,Rosenkeller,"Rosenkeller, Hallo Tom",rosenkeller.org,tom@rosenkeller.org,,Th?ringen,Deutschland
Liebengrün,Rathaussaal,Liebengrün,www.fuck-this.de,erwin@fuck-this.de,,Th?ringen,Deutschland
Rauenstein,Kulti,"Kulti, Hallo Hendrik",kulti-rauenstein.de,hendrik@kulti-rauenstein.de,,Th?ringen,Deutschland
Saalfeld,Klubhaus,Tommy,klubhaus-saalfeld.de,klubhaus-slf@web.de,,Th?ringen,Deutschland
Gotha,Juwel,Juwel,juwelev.wordpress.com,veranstaltungen-juwel@safe-mail.net,,Th?ringen,Deutschland
Illmenau,BC Studentenclub,BC Studentenclub,,booking@bc-studentenclub.de,,Th?ringen,Deutschland
Südthüringen/ Oberfranken,TCHC Booking,TCHC Booking,facebook.com/tchc.booking,E-mail Address,,Th?ringen,Deutschland
Weimar,TRVEFRYKT Zine,TRVEFRYKT Zine,,atmofear@gmx.de,,Th?ringen,Deutschland
Eisenach,Straight Outta EastSide Shows,Straight Outta EastSide Shows,facebook.com/SOEshows,,,Th?ringen,Deutschland
Illmenau,Naracke 5 e.V.,Naracke 5 e.V.,facebook.com/Baracke5,,,Th?ringen,Deutschland
Jena/ Weimar/ Erfurt/ Saalfeld,Lotus Entertainment Booking,Lotus Entertainment,,lotus-entertainment@web.de,,Th?ringen,Deutschland
Jena/ Weimar/ Erfurt/ Saalfeld,Posi Box Booking,Posi Box,,posibox@riseup.net,,Th?ringen,Deutschland
Jena/ Weimar/ Erfurt/ Saalfeld,Hypno East Brigade Concerts,Hypno East Brigade,,Crustfrosch@web.de,,Th?ringen,Deutschland
Jena/ Weimar/ Erfurt/ Saalfeld,Deaf Row Shows,Deaf Row Shows,,deafrowfest@gmx.de,,Th?ringen,Deutschland
Braunschweig,,,juzb58.de,booking@juzB58.de,,Niedersachsen,Deutschland
Braunschweig,Nexus,Nexus,dasnexus.de,veranstaltungen@dasnexus.de,,Niedersachsen,Deutschland
Celle,Celler Musik Initiative,Musik Initiative,cri-web.de,,,Niedersachsen,Deutschland
Clausthal,Kellerclub,Kellerclub,kellerclubimstuz.de,booking@KellerclubimStuZ.de,,Niedersachsen,Deutschland
Emden,Alte Post,"Alte Post, Hallo Rita",altepost-emden.de,kracht-bleeker@emden.de,,Niedersachsen,Deutschland
Faüberg,Anders Kneipe,Anders Kneipe,facebook.com/Anders-die-etwas-andere-Kneipe-805603389536168,,,Niedersachsen,Deutschland
Groüfehn,Schlappohr,Schlappohr,facebook.com/Schlappohr-Rockkneipe-195991987087620,,,Niedersachsen,Deutschland
Hameln,Freiraum,Freiraum Konzertgruppe,freiraum-hameln.de,noise@freiraum-hameln.de,,Niedersachsen,Deutschland
Hameln,Regenbogen,Regenbogen,regenbogen.hameln.de,E-mail Address,,Niedersachsen,Deutschland
Hameln,,,k3-hameln.de,info@k3-hameln.de,,Niedersachsen,Deutschland
Hannover,,Lux Linden,lux-linden.de,info@lux-linden.de,,Niedersachsen,Deutschland
Hannover,Rocker ,Rocker,rocker-hannover.de,rocker-hannover@web.de,,Niedersachsen,Deutschland
Hannover,Stumpf,Stumpf,stumpfpunk.blogsport.de,stumpfpunk@riseup.net,,Niedersachsen,Deutschland
Hannover,Cafe Glocksee,Cafe Glocksee,cafe-glocksee.de,mail@cafe-glocksee.de,,Niedersachsen,Deutschland
Hannover,Kulturzentrum Faust,Faust,kulturzentrum-faust.de,booking@kulturzentrum-faust.de,,Niedersachsen,Deutschland
Hannover,Bei Chez Heinz,"Christian, Hallo Chez Heinz",beichezheinz.de,jennifer.kern@beichezheinz.de,,Niedersachsen,Deutschland
Hannover,Bei Chez Heinz,"Jennifer, Hallo Chez Heinz",beichezheinz.de,christian.soelter@beichezheinz.de,,Niedersachsen,Deutschland
Hannover,Faust,Faust,kulturzentrum-faust.de,booking@kulturzentrum-faust.de,,Niedersachsen,Deutschland
Hannover,Kulturpalast,Kulturpalast,kulturpalast-hannover.de,booking@juzB58.de,,Niedersachsen,Deutschland
Lingen,Alter Schlachthof,Alter Schlachthof,alterschlachthof.de,epping@alterschlachthof.de,,Niedersachsen,Deutschland
Lingen,Alter Schlachthof,Alter Schlachthof,alterschlachthof.de,fehren@alterschlachthof.de,,Niedersachsen,Deutschland
Moormerland,Juz Phoenix,Enno,phoenix-moormerland.de,phoenix-jukuz@ewetel.net,04954/5968,Niedersachsen,Deutschland
Neuenhaus,Gleis 1,"Rüdiger, Hallo Gleis 1",gleis1-neuenhaus.de,info@gleis1-neuenhaus.de,,Niedersachsen,Deutschland
Peine,Garage,Garage Peine,facebook.com/garage.peine,garage.peine@web.de,,Niedersachsen,Deutschland
Schüttdorf,UJZ Komplex,UJZ Komplex,komplex-schuettorf.de,info@komplex-schuettorf.de,,Niedersachsen,Deutschland
Varel,Weberei,Weberei,facebook.com/JugendzentrumWebereiVarel,,,Niedersachsen,Deutschland
Wolfsburg,Jugendhaus Ost,Juha Ost,jugendhausost.blogspot.de,konzerte.jugendhausost@googlemail.com,,Niedersachsen,Deutschland
Oldenburg,Amadeus,Amadeus,amadeus-ol.de,info@amadeus-ol.de,,Niedersachsen,Deutschland
Güttingen,Exil,Exil,exil-web.de,veranstaltungen@dasnexus.de,,Niedersachsen,Deutschland
Hildesheim,Kulturfabrik,Kulturfabrik,kufa.info,booking@kufa.info,,Niedersachsen,Deutschland
Hildesheim,Kulturfabrik,Kulturfabrik,kufa.info,bwolter@kufa.info,,Niedersachsen,Deutschland
Vechta,Gulfhaus,Gulfhaus,gulfhaus.de,info@gulfhaus.de,,Niedersachsen,Deutschland
Rostock,Bunker,Bunker,bunker-rostock.de,kombinatsleitung@bunker-rostock.de,,Mecklenburg-Vorpommern,Deutschland
Rostock,MS Stubnitz,Stubnitz,ms.stubnitz.com,,,Mecklenburg-Vorpommern,Deutschland
Rostock,Peter Weiss Haus,Peter Weiss Haus,peterweisshaus.de,post@peterweisshaus.de,,Mecklenburg-Vorpommern,Deutschland
Greifswald,Klex,Klex,das-klex.de,proton-hgw@web.de,,Mecklenburg-Vorpommern,Deutschland
Cottbus,Gladhouse,Gladhouse,gladhouse.de,booking@gladhouse.de,,Brandenburg,Deutschland
Cottbus,Irish Pub Baalse,Irish Pub Baalse,facebook.com/baalsepub.de,,,Brandenburg,Deutschland
Cottbus,La Casa ,La Casa,lacasa-cb.de,info.lacasa@gmx.de,,Brandenburg,Deutschland
Cottbus,Muggefug,Muggefug,muggefug.de,muggefug@gmx.de,,Brandenburg,Deutschland
Cottbus,Chekov,Chekov,facebook.com/Chekov.Cottbus,chekov.cottbus@googlemail.com,,Brandenburg,Deutschland
Guben,JC Comet,JC Comet,cafe-nobudget.de,cafe-nobudget@gmx.de,,Brandenburg,Deutschland
Potsdam,Waschhaus,Waschhaus,waschhaus.de,kontakt@waschhaus.de,,Brandenburg,Deutschland
Andernach,Juz Live Club,"Juz Andernach, Hallo Thomas",juz-live-club.de,thomas.schmidt@andernach.de,,Rheinland-Pfalz,Deutschland
Andernach,Shout Loud,Shout Loud Konzerte,magazin.shout-loud.de,info@shout-loud.de,,Rheinland-Pfalz,Deutschland
Andernach,Shout Loud,Florian,magazin.shout-loud.de,florian@shout-loud.de,,Rheinland-Pfalz,Deutschland
Bad Dürkheim,Jukib,Jukib,facebook.com/jukib.konzerte,anstaett@jukib-konzerte.de,,Rheinland-Pfalz,Deutschland
Bad Kreuznach,Ajk ,"Ajk, Hallo Juliane",ajk.blogsport.de,AJK-BadKreuznach@gmx.de,,Rheinland-Pfalz,Deutschland
Bad Kreuznach,Ajk ,"Ajk, Hallo Fey",ajk.blogsport.de,AJK-Booking@gmx.de,,Rheinland-Pfalz,Deutschland
Bad Kreuznach,Dudelsack,Dudelsack,dudelsack-bk.de,info@dudelsack-bk.de,,Rheinland-Pfalz,Deutschland
Frankenthal,Zuckerfabrik,Karsten,frankenthal.de/sv_frankenthal,karsten.ferchow@frankenthal.de,,Rheinland-Pfalz,Deutschland
Herdorf,Rattenloch,Rattenloch,rattenloch-herdorf.de,E-mail Address,,Rheinland-Pfalz,Deutschland
Kaiserslautern,Juz ,,juz-kl.de,juz-kl@web.de,,Rheinland-Pfalz,Deutschland
Koblenz ,Circus Maximus,Circus Maximus,circus-maximus.org,booking@circus-maximus.org,,Rheinland-Pfalz,Deutschland
Landau,Rhumbar,Jeannine,rhumbar-in-landau.jimdo.com,rhumbar.team@yahoo.de,,Rheinland-Pfalz,Deutschland
Mainz,Alexander The Great,,alexander-the-great-mz.de,,,Rheinland-Pfalz,Deutschland
Mainz,Haus der Jugend,Peter,hdj-mainz.de,info@m8-mainz.de,0176-85043098,Rheinland-Pfalz,Deutschland
Mainz,Haus Mainusch,Mainusch,haus-mainusch.de,,,Rheinland-Pfalz,Deutschland
Mainz,QKaff,QKaff,,,,Rheinland-Pfalz,Deutschland
Trier,Exzellenzhaus,Rino,exhaus.de,kulturbuero@exhaus.de,,Rheinland-Pfalz,Deutschland
Trier,Luckys Luke,Thomas,luckys-luke.de,thomas@luke.de,,Rheinland-Pfalz,Deutschland
Koblenz ,Jam Club,"Christoph, Hallo Jam",jamnet.de,thomas.schmidt@andernach.de,,Rheinland-Pfalz,Deutschland
Kaiserslautern,Havanna,Havanna,facebook.com/Club-Discothek-Havanna-329392487112893,,,Rheinland-Pfalz,Deutschland
Hamburg,Astra Stube,Astra Stube,astra-stube.de,play@astra-stube.de,,Hamburg,Deutschland
Hamburg,Bambi Galore,"Bambi Galore, Hallo Florian",bambigalore.de,f.holzapfel@kph-hamburg.de,,Hamburg,Deutschland
Hamburg,Cafe Flop,Cafe Flop,unserhausev.de,booking@unserhausev.de,,Hamburg,Deutschland
Hamburg,Club Molotow,Molotow,molotowclub.com,molotow@molotowclub.com,,Hamburg,Deutschland
Hamburg,Der Clochard,Clochard,clo.lima-city.de,band@derclochard.de,,Hamburg,Deutschland
Hamburg,Gängeviertel,Gängeviertel,facebook.com/gvgoeshc,,,Hamburg,Deutschland
Hamburg,Pocca Bar,Marc,marc@pocca-bar.com,pooca-bar.com,,Hamburg,Deutschland
Hamburg,Rock Cafe St. Pauli,Rock Cafe,rock-cafe-hamburg.de,info@rock-cafe-stpauli.de,,Hamburg,Deutschland
Hamburg,Zwick,Zwick,zwick4u.com,E-mail Address,,Hamburg,Deutschland
Hamburg,Monkeys Music Club,Monkeys,facebook.com/monkeysclubhamburg,info@monkeys-hamburg.de,,Hamburg,Deutschland
Hamburg,Hafenklang,Hafenklang,hafenklang.org,,,Hamburg,Deutschland
Hamburg,Headcrash,Headcrash,headcrash-hamburg.com,community@headcrash.hamburg,,Hamburg,Deutschland
Hamburg,Bar227,Bar227,bar227.de,info@bar227.de,,Hamburg,Deutschland
Aalen,Rock It,Rock It,rockitaalen.de,rockit@gmx.net,,Baden-W?rtemberg,Deutschland
Auggen,Raumstation Sternen,Raumstation,sternengalaxie.de,sternen-auggen@web.de,,Baden-W?rtemberg,Deutschland
Backnang,Jugendzentrum,Juze,juzebacknang.com,konzert@juzebacknang.com,,Baden-W?rtemberg,Deutschland
Emmendingen,Juze,Muhamet,facebook.com/juzeem,m.yilmaz@emmendingen.de,,Baden-W?rtemberg,Deutschland
Esslingen,Komma,Komma,komma.info,info@komma.info,,Baden-W?rtemberg,Deutschland
Freiburg,Cafe Atlantik,Cafe Atlantik,cafe-atlantik.de,,,Baden-W?rtemberg,Deutschland
Freiburg,,Slacklinecity Shows,facebook.com/slhcpunx,slacklinecityshows@gmx.de,,Baden-W?rtemberg,Deutschland
Freiburg,White Rabbit,White Rabbit,white-rabbit-club.de,info@white-rabbit-club.de,,Baden-W?rtemberg,Deutschland
Güppingen,Krypta,Fabrik Für Kunst Und Kultur,fabrikev.de,E-mail Address,,Baden-W?rtemberg,Deutschland
Haslach,Black Station,Blackstation,blackstation218-haslach.de,BRMC-Haslach@web.de,,Baden-W?rtemberg,Deutschland
Haslach,Kastenkeller,Kastenkeller,facebook.com/Kastenkeller,,,Baden-W?rtemberg,Deutschland
Haslach,Kastenkeller,Kastenkeller,facebook.com/Kastenkeller-Konzerte-589542044521875,,,Baden-W?rtemberg,Deutschland
Herrenberg,Juha,Juha,juha-herrenberg.de,,,Baden-W?rtemberg,Deutschland
Heubach,QL Tourraum,QL Tourraum,qltourraum.de,info@QLTourRaum.de,,Baden-W?rtemberg,Deutschland
Heuchlingen,Schlicker,Schlicker,schlicker-heuchlingen.de,info@schlicker-heuchlingen.de,,Baden-W?rtemberg,Deutschland
Isny,,Juze Go In,juze-goin-isny.de,konzerte@juze-goin-isny.de,,Baden-W?rtemberg,Deutschland
Karlsruhe,,AKK Karlsruhe,akk.org,akk@akk.org,,Baden-W?rtemberg,Deutschland
Karlsruhe,Alte Hackerei,Alte Hackerei,altehackerei.de,plueschbert@web.de,,Baden-W?rtemberg,Deutschland
Karlsruhe,Alte Hackerei,Alte Hackerei,altehackerei.de,rockit@gmx.net,,Baden-W?rtemberg,Deutschland
Karlsruhe,Die Stadtmitte,Stadtmitte,die-stadtmitte.de,booking@die-stadtmitte.de,,Baden-W?rtemberg,Deutschland
Karlsruhe,Substage,Substage,,,,Baden-W?rtemberg,Deutschland
Karlsruhe,,,z10.info,kultur@z10.info,,Baden-W?rtemberg,Deutschland
Karlsruhe,Jubez,Chris,jubez.de,c.marmann@stja.de,,Baden-W?rtemberg,Deutschland
Kehl,Juke St. Nepomuk,Heiko,juke-st-nepomuk.de,info@juke-kehl.de,,Baden-W?rtemberg,Deutschland
Kisslegg,Juze Spatz,Juze Spatz,juze-spatz.de,konzerte@juze-spatz.de,,Baden-W?rtemberg,Deutschland
Lahr,Schlachthof,Rockwerkstatt,schlachthof-lahr.de,info@rockwerkstatt.de,,Baden-W?rtemberg,Deutschland
Langenau,Kaoskeller,Kaoskeller,,info@jugendzentrum-langenau.de,,Baden-W?rtemberg,Deutschland
Leonberg,Beatbaracke,Beatbaracke,jhleonberg.de,info@jhleonberg.de,,Baden-W?rtemberg,Deutschland
Leutkirch im Allgüu,Jugendhaus,Jugendhaus,jugendhaus-leutkirch.de,sternen-auggen@web.de,,Baden-W?rtemberg,Deutschland
Lürrach,Altes Wasserwerk,"Hallo Jürgen, Hallo Altes Wasserwerk",alteswasserwerk.de,juergen.hamel@gmail.com,,Baden-W?rtemberg,Deutschland
Lürrach,Altes Wasserwerk,"Hallo Manuel, Hallo Altes Wasserwerk",alteswasserwerk.de,manuel.wegner80@gmail.com,,Baden-W?rtemberg,Deutschland
Lürrach,Metalcafe,Metal Maniacs,metal-maniacs.eu,contact@metal-maniacs.eu,,Baden-W?rtemberg,Deutschland
Ludwigsburg,Villa,Villa,facebook.com/grunzev,,,Baden-W?rtemberg,Deutschland
Mannheim,Jugendhaus Waldpforte,Herr Camilotto,waldpforte.majo.de,dieter.camilotto@mannheim.de,,Baden-W?rtemberg,Deutschland
Mannheim,Jugendhaus Waldpforte,Niklas,waldpforte.majo.de,niknik992@gmail.com,,Baden-W?rtemberg,Deutschland
Mannheim,Juz Friedrich Dürr,Juz Mannheim,juz-mannheim.de,konzertanfrage@juz-mannheim.de,,Baden-W?rtemberg,Deutschland
Mannheim,Fresh,Fresh,facebook.com/freshmannheim,fresh-club@forum-mannheim.de,,Baden-W?rtemberg,Deutschland
Mannheim,Fresh,"Rainer, Hallo Fresh Mannheum",facebook.com/freshmannheim,rainer.doehring@forum-mannheim.de,,Baden-W?rtemberg,Deutschland
Mulfingen,Himmelreich,"Rolf, Hallo Himmelreich",himmelreich-mulfingen.de,konzert@juzebacknang.com,,Baden-W?rtemberg,Deutschland
Oberwolfach,Wolfsklause,Wolfsklause,wolfsklause-konzerte.de,info@wolfsklause-konzerte.de,,Baden-W?rtemberg,Deutschland
Offenburg,Kessel,Kessel,juze-kessel.de,post@juze-kessel.de,,Baden-W?rtemberg,Deutschland
Offenburg,Stud,Christian,stud-offenburg.de,bands@stud-offenburg.de,,Baden-W?rtemberg,Deutschland
Pforzheim,Kupferdächle,Kupferdächle,kupferdaechle.de,info@kupferdaechle.de,,Baden-W?rtemberg,Deutschland
Plochingen,Juze,"Dennis, Hallo Juze",jz-plochingen.de,,,Baden-W?rtemberg,Deutschland
Ravensburg,Jugendhaus,"Daniel, Hallo Jugendhaus",jugend-rv.de,Daniel.Butz@jugend-rv.de,,Baden-W?rtemberg,Deutschland
Radolfzell,Bokle,"Hallo Daniel, Hallo Bokle",bokle.de,bokle@bokle.de,,Baden-W?rtemberg,Deutschland
Reutlingen,Kulturschock,Kulturschock,facebook.com/KulturschockZelle,postfach@kulturschock-zelle.de,,Baden-W?rtemberg,Deutschland
Schwübisch Hall,Club Alpha 60,Club Alpha 60,clubalpha60.de,ak-programm@clubalpha60.de,,Baden-W?rtemberg,Deutschland
Stuttgart,Jugendhaus West,"Juha West, Hallo Flo",facebook.com/pages/Juha-West,m.yilmaz@emmendingen.de,,Baden-W?rtemberg,Deutschland
Stuttgart,Kellerklub,Kellerklub,kellerklub.com,theodorou@kellerklub.com,,Baden-W?rtemberg,Deutschland
Tübingen,Epplehaus,Epplehaus,epplehaus.de,,,Baden-W?rtemberg,Deutschland
Tübingen,Epplehaus,Epplehaus,epplehaus.de,,,Baden-W?rtemberg,Deutschland
Tutlingen,Phono,Phono,facebook.com/phonotuttlingen,evang.JugendwerkTuttlingen@t-online.de,,Baden-W?rtemberg,Deutschland
Tutlingen,Rittergarten,Rittergarten,rittergarten.de,verein@rittergarten.de,,Baden-W?rtemberg,Deutschland
,Beteigeuze,Beteigeuze,beteigeuze.npage.de,betei@gmx.com,,Baden-W?rtemberg,Deutschland
,,,cat-ulm.de,booking@cat-ulm.de,,Baden-W?rtemberg,Deutschland
,Club Action ,Florian,club-action.de,florian.haegele@club-action.de,,Baden-W?rtemberg,Deutschland
,Club Schilli,Club Schili,facebook.com/clubschilli,,,Baden-W?rtemberg,Deutschland
,Hexenhaus,Hexenhaus,hexenhaus-metal.de,info@komma.info,,Baden-W?rtemberg,Deutschland
,Studentencafe,Studentencafe,studentencafe.de,bandbooking@studentencafe.de,,Baden-W?rtemberg,Deutschland
